excel_muni,excel_puesto,db_puesto_id,db_puesto_name,db_municipio_id,creemos,sn,mesas_historicas,confidence,method,status
SAN ANDRES,I.E.R. ANA JOAQUINA RESTREPO,989,I.E.R. ANA JOAQUINA RESTREPO,96,1,0,1,100,exact,ok
SAN ANDRES,ESCUELA LA CIENAGA,992,ESCUELA LA CIENAGA,96,0,3,1,100,exact,ok
SAN ANDRES,ESCUELA EL PEÑOL I.E.R. LAS CRUCES,995,ESCUELA EL PEÑOL I.E.R. LAS CRUCES,96,0,1,1,100,exact,ok
SAN ANDRES,ESC. SANTA GERTRUDIS I.E.R. LAS CRUCES,996,ESC. SANTA GERTRUDIS I.E.R. LAS CRUCES,96,1,1,1,100,exact,ok
SAN CARLOS,COLIS. MPAL JULIAN CONRADO E IVAN GIRAL.,997,"COLIS. MPAL JULIAN CONRADO E IVAN
GIRAL.",27,283,104,38,100,exact,ok
SAN CARLOS,I.E.R. EL JORDAN,998,I.E.R. EL JORDAN,27,33,7,5,100,exact,ok
SAN CARLOS,I.E.R.PALMICHAL SEDE EL CHOCO,999,I.E.R.PALMICHAL SEDE EL CHOCO,27,2,1,2,100,exact,ok
SAN CARLOS,C.E.R. SIMON BOLIVAR,1000,C.E.R. SIMON BOLIVAR,27,9,0,1,100,exact,ok
SAN CARLOS,C.E.R. SAMANA,1001,C.E.R. SAMANA,27,4,1,2,100,exact,ok
SAN CARLOS,I.E.R PUERTO GARZA,1002,I.E.R PUERTO GARZA,27,13,5,2,100,exact,ok
SAN FRANCISCO,NUEVA SD C.E.R.SAN JUAN DE AQUITANIA,1003,NUEVA SD C.E.R.SAN JUAN DE AQUITANIA,28,15,0,4,100,exact,ok
SAN JERONIMO,COLISEO MUNICIPAL,1005,COLISEO MUNICIPAL,50,162,97,35,100,exact,ok
SAN JERONIMO,SD TOMASA MENDEZ I.E.R. AGRICOLA,1006,SD TOMASA MENDEZ I.E.R. AGRICOLA,50,5,5,3,100,exact,ok
SAN JERONIMO,C.E.R. LOS CEDROS,1007,C.E.R. LOS CEDROS,50,2,4,1,100,exact,ok
SAN JERONIMO,ENORSGED SD FRANCISCO HERRERA CAMPUZANO,1008,"ENORSGED SD FRANCISCO HERRERA
CAMPUZANO",50,4,3,2,100,exact,ok
